Skills,Job_Role
python pandas sql excel powerbi,Data Analyst
python machine learning tensorflow pytorch,AI Engineer
python django mysql api,Backend Developer
html css javascript react,Frontend Developer
java spring mysql,Java Developer
c cpp dsa problem solving,Software Engineer
python flask api mongodb,Python Developer
react nodejs mongodb express,Full Stack Developer
aws docker kubernetes linux,Cloud Engineer
python data visualization tableau,Business Analyst
python numpy pandas matplotlib,Data Scientist
figma ui ux prototyping,UI UX Designer
html css bootstrap javascript,Web Designer
android kotlin firebase,Android Developer
swift ios xcode,IOS Developer
networking ccna cybersecurity linux,Network Engineer
ethical hacking kali linux cybersecurity,Cyber Security Analyst
python selenium automation testing,QA Automation Engineer
manual testing bug tracking jira,Software Tester
sql powerbi tableau excel,BI Developer
php laravel mysql,PHP Developer
nodejs express mongodb api,NodeJS Developer
react nextjs tailwind,React Developer
vuejs javascript css,VueJS Developer
angular typescript rxjs,Angular Developer
python opencv deep learning,Computer Vision Engineer
nlp python transformers,Machine Learning Engineer
python tensorflow cnn rnn,Deep Learning Engineer
blockchain solidity ethereum,Blockchain Developer
devops docker jenkins github,DevOps Engineer
linux shell scripting aws,System Administrator
mysql postgresql database sql,Database Administrator
firebase flutter dart,Flutter Developer
react native mobile app,React Native Developer
unity csharp game development,Game Developer
unreal engine cpp gaming,Game Programmer
seo digital marketing analytics,Digital Marketing Specialist
content writing blogging seo,Content Writer
excel accounting tally gst,Accountant
autocad solidworks mechanical,Mechanical Engineer
civil autocad construction,Site Engineer
embedded systems arduino c,Embedded Engineer
iot raspberrypi sensors python,IoT Engineer
photoshop illustrator premierepro,Graphic Designer
video editing aftereffects premierepro,Video Editor
hr recruitment communication,HR Executive
sales marketing crm,Sales Executive
customer support communication,Customer Support Executive
ai prompt engineering chatgpt,Prompt Engineer
python genai langchain llm,Generative AI Developer
datastructures algorithms java,Competitive Programmer

